text,anger,fear,joy,sadness,surprise,hope
Yo pienso seguir el tiempo y entretenerme.,0,0,0,0,0,0
Avíseme lo que por ahí pasare.,0,0,0,0,0,0
[...] me hizo VM en avisarme lo de los oficiales nuevos.,0,0,0,1,0,0
Y cierto que me agradan poco.,0,0,0,1,0,0
No sé qué fruto harán.,0,0,0,1,0,0
Del virrey deseo siempre saber.,0,0,0,0,0,0
Suplico a VM me lo avise que no dejará de haber nuevas.,0,0,0,1,0,0
Los soldados no los he podido ir a ver porque cuando pasaron estaba yo en la fuga de mi mal.,0,1,0,1,0,0
Dios sea servido que después que estoy aquí no tengo día de salud.,0,1,0,1,0,0
Creo que alguna me ha maldecido.,0,1,0,0,0,0
Y con todo porfío en salir de embarazos.,0,0,0,1,0,0
Y le aseguro que me estoy tan al principio como el primer día que vine.,0,0,0,0,0,0
Digo en los intereses míos propios que en los demás hácese algo.,0,0,0,1,0,0
Envíeme VM un pronóstico de este año que aquí me lo piden.,0,0,0,0,0,0
Y pues la llave del candelero no se ha podido enviar para fiestas haga VM que me la traiga éste que aquí va.,0,0,0,1,0,0
La gordaria y Yo creo que cualquiera es buena.,0,0,0,0,0,0
También suplico a VM me envíe unos pantuflos que me muero de frío los pies y hace tan mal tiempo que le aseguro habría menester algún otro reparo a mi señora Petronilla de mur vuestro las manos.,0,1,0,1,0,0
Y Nuestro Señor guarde a VM como puede.,0,0,0,0,0,0
De Serós a 14 de enero 1591.,0,0,0,0,0,0
Muchos días ha que me escribió VM que mis vecinas tenían cuidado de mí y de cuándo sería ahí.,0,0,0,1,0,0
Suplico a VM me avise quién que ya sabe tengo muchas vecinas.,0,0,0,1,0,0
Y si son las señoras esposas hágame merced de cuando se viere con Cosida darle mi besar de manos y que las dé a todos estas señoras.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader para Adrián de la Fuente criado.Su tío Juan de la Fuente llegó aquí el segundo día que de aquí se partió y me trajo carta de allá que me avisan de la salud y que todos la tienen aunque Jaime un poco malo.,0,0,0,0,0,0
Al señor mayor Frexinet dirá que le beso las manos mil veces y que Nuestro Señor le dé tanta salud como me ha dado contento su carta de 30 del pasado en que me avisa ha parecido el proceso y que ha dado cédula para que se pronuncie.,0,0,1,0,0,0
Y así confío que lo despachará que le suplico se haga con toda brevedad y como conviene.,0,0,0,0,0,0
Y por amor de Dios que ande solicitando de noche y de día y lamiendo a todos esos señores que le ayuden a que se acabe y salga esa sentencia.,0,0,0,1,0,0
Y luego pedirá se la saquen en pública forma signada y legalizada de mano de Manuel Ledesma que ya sabe cómo lo ha de hacer.,0,0,0,0,0,0
En nuestro negocio no se hace nada después que yo he respondido segunda vez a su excelencia y enviado a Madrid el acto de la apelación.,0,0,0,1,0,0
Y aguardo la procura: que la envíe el gobernador éste.,0,0,0,0,0,0
Pezonada no sé qué habrá revuelto aquí ahí lo podrá saber.,0,0,0,1,0,0
De las cobranzas no tengo que encargarle más de que abrevie.,0,0,0,0,0,0
De mi salud le sé decir que ando convaleciendo bien y estaré aparejado para cuando venga que vamos a Jaca.,0,0,0,0,0,0
Procure de traer los hijos buenos o dejarlos en talle.,0,0,0,0,0,0
Y todo lo demás de la memoria que le di.,0,0,0,0,0,0
Y escriba de lo que fuere haciendo Nuestro Señor sea con todos.,0,0,0,1,0,0
De Zaragoza a 9 de octubre 1594.,0,0,0,0,0,0
A Manuel Ledesma que le beso las manos mil veces.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader para Joan Çoliba Bayle.No he respondido a dos cartas suyas que la postrera me trajo este portador porque ha muchos días que estoy enfermo.,0,0,0,1,0,0
Gracias a Dios que me hallo mejor y voy ya convaleciendo.,0,0,0,1,0,0
El honrado de Pezonada es gran negociante.,0,0,0,0,0,0
Y le aseguro que yo no sé para qué se ha detenido aquí que podía haberse vuelto el día que llegó pero Maurán le debe haber detenido.,0,0,0,1,0,0
Va diciendo grandes quejas de VM.,0,0,0,1,0,0
Yo he dicho al señor don Jaime en presencia de Pedro Seipas la verdad y que solicito aquí lo que era razón.,0,0,0,0,0,0
Y para que éste no salga con sus bellaquerías lo he escrito al marqués dándole razón de todo.,0,0,0,1,0,0
Conviene que ahí esté prevenido de lo que debe hacer que yo tengo carta de su excelencia y quiere que este negocio vaya a Madrid y así lo he encaminado.,0,0,0,0,0,0
Y todo cuanto Pezonada dirá que ha tratado con Maurán de concierto todo es garlar y no querer hacer ninguna llaneza.,0,0,0,0,0,0
Lo que le encargo es que pague a Adrián lo que me debe que ya sabe señor que es ya tiempo.,0,0,0,1,0,0
Y pues yo le he hecho tanta espera y cortesías no tengo más que hacer en la salida que yo he menester cobrar mi hacienda.,0,0,0,1,0,0
Y ayude a Adrián en todo cuanto se ofrezca.,0,0,0,0,0,0
Y luego me avisará de la llegada de éste y de todo lo que pasare.,0,0,0,0,0,0
Nuestro Señor sea con todos.,0,0,0,0,0,0
De Zaragoza a 5 de octubre 1594.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader Juan Maurán de León mercader.,0,0,0,0,0,0
Bajo pliego de una carta que escribí en 11 de éste a Miguel de Dosera tengo escrito a VM y avisádole de los grandes fríos y heladas que por esta tierra hace que admira tanto que no hay hombre que se atreva a salir de casa.,0,1,0,1,0,0
Para mi convalecencia digo a VM que me es harto contrario porque como esta casa es ruin y mal aparajeda lo paso harto mal.,0,1,0,1,0,0
Dios nos remedie.,0,1,0,1,0,0
Tengo avisado a VM que los jurados y prohómenes de aquí convino que fuesen a Valencia por lo de la casa y otras cosas que irán de Rota.,0,0,0,0,0,0
Ha importado harto su ida porque el marqués les ha hecho merced de que la casa fuese para la villa como deseábamos.,0,0,0,1,0,0
Y en las demás cosas ha proveído lo hacedero.,0,0,0,0,0,0
No sé si se remediarán.,0,1,0,1,0,0
A lo menos yo procuro que nuestras cobranzas fuesen con más calor que no hay cobrar un dinero en particular por los émulos que allá nos han hecho contrario.,0,1,0,1,0,0
Manda el marqués por memorial firmado de su mano que se den las fianzas de este arrendamiento.,0,0,0,0,0,0
Y pues sabe VM cuántas veces se lo tengo escrito y que para atajar estas dendalillas conviene darlas le vuelvo a suplicar que por la orden que tengo escrita por otras procure que el señor Bernabé de Sola testifique unasto de fiaduría.,0,0,0,0,0,0
Y hecho que sea sería de importancia que VM viniese por aquí y acabarse ya de asentar este negocio.,0,0,0,0,0,0
VM lo procure.,0,0,0,0,0,0
Y pues le tengo ya avisado me proveía las apocas de estas dos pensiones no quiero aquí cansarlo más.,0,0,0,1,0,0
Ya tengo también avisado cómo iban dejando el panizo.,0,0,0,1,0,0
Y así ahora digo que ya está dado.,0,0,0,0,0,0
Y gracias a Dios que he salido de esto que me lo daba VM en los ojos.,0,1,0,1,0,0
Y confío que no se habrá perdido en haberlo guardado porque aunque no he hecho precio aguardo que se hará de manera que no se perderá nada.,0,0,0,1,0,0
También dije algunos días ha que un síndico de Barcelona andaba por aquí comprando trigo.,0,0,0,0,0,0
Y me ha enviado a hablar algunas veces pero nunca nos hemos atrevido.,0,0,0,1,0,0
Y así digo que considerado el tiempo que por aquí pasa me voy entreteniendo.,0,0,0,0,0,0
Y no querría vender.,0,0,0,1,0,0
Y por otra parte el poco de trigo que tengo está en una cilla aquí de las de la villa que temo no se gaste.,0,0,0,1,0,0
Y por esto y porque son menester dineros si se allegasen a lo de razón procuraría de vender.,0,0,0,1,0,0
VM vea si habrá orden de algunos dineros y si no venderé si a 12000 me llegasen a dar en junto.,0,0,0,1,0,0
Algunas cargas se han vendido por aquí estos días a 13000 y a 14000 pero causado la gran nevada y heladas y no poder salir nadie de sus casas.,0,1,0,1,0,0
Yo pienso seguir el tiempo y entretenerme.,0,0,0,0,0,0
Avíseme lo que por ahí pasare.,0,0,0,0,0,0
[...] me hizo VM en avisarme lo de los oficiales nuevos.,0,0,0,1,0,0
Y cierto que me agradan poco.,0,0,0,1,0,0
No sé qué fruto harán.,0,0,0,1,0,0
Del virrey deseo siempre saber.,0,0,0,0,0,0
Suplico a VM me lo avise que no dejará de haber nuevas.,0,0,0,1,0,0
Los soldados no los he podido ir a ver porque cuando pasaron estaba yo en la fuga de mi mal.,0,1,0,1,0,0
Dios sea servido que después que estoy aquí no tengo día de salud.,0,1,0,1,0,0
Creo que alguna me ha maldecido.,0,1,0,0,0,0
Y con todo porfío en salir de embarazos.,0,0,0,1,0,0
Y le aseguro que me estoy tan al principio como el primer día que vine.,0,0,0,0,0,0
Digo en los intereses míos propios que en los demás hácese algo.,0,0,0,1,0,0
Envíeme VM un pronóstico de este año que aquí me lo piden.,0,0,0,0,0,0
Y pues la llave del candelero no se ha podido enviar para fiestas haga VM que me la traiga éste que aquí va.,0,0,0,1,0,0
La gordaria y Yo creo que cualquiera es buena.,0,0,0,0,0,0
También suplico a VM me envíe unos pantuflos que me muero de frío los pies y hace tan mal tiempo que le aseguro habría menester algún otro reparo a mi señora Petronilla de mur vuestro las manos.,0,1,0,1,0,0
Y Nuestro Señor guarde a VM como puede.,0,0,0,0,0,0
De Serós a 14 de enero 1591.,0,0,0,0,0,0
Muchos días ha que me escribió VM que mis vecinas tenían cuidado de mí y de cuándo sería ahí.,0,0,0,1,0,0
Suplico a VM me avise quién que ya sabe tengo muchas vecinas.,0,0,0,1,0,0
Y si son las señoras esposas hágame merced de cuando se viere con Cosida darle mi besar de manos y que las dé a todos estas señoras.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader para Adrián de la Fuente criado.Su tío Juan de la Fuente llegó aquí el segundo día que de aquí se partió y me trajo carta de allá que me avisan de la salud y que todos la tienen aunque Jaime un poco malo.,0,0,0,0,0,0
Al señor mayor Frexinet dirá que le beso las manos mil veces y que Nuestro Señor le dé tanta salud como me ha dado contento su carta de 30 del pasado en que me avisa ha parecido el proceso y que ha dado cédula para que se pronuncie.,0,0,1,0,0,0
Y así confío que lo despachará que le suplico se haga con toda brevedad y como conviene.,0,0,0,0,0,0
Y por amor de Dios que ande solicitando de noche y de día y lamiendo a todos esos señores que le ayuden a que se acabe y salga esa sentencia.,0,0,0,1,0,0
Y luego pedirá se la saquen en pública forma signada y legalizada de mano de Manuel Ledesma que ya sabe cómo lo ha de hacer.,0,0,0,0,0,0
En nuestro negocio no se hace nada después que yo he respondido segunda vez a su excelencia y enviado a Madrid el acto de la apelación.,0,0,0,1,0,0
Y aguardo la procura: que la envíe el gobernador éste.,0,0,0,0,0,0
Pezonada no sé qué habrá revuelto aquí ahí lo podrá saber.,0,0,0,1,0,0
De las cobranzas no tengo que encargarle más de que abrevie.,0,0,0,0,0,0
De mi salud le sé decir que ando convaleciendo bien y estaré aparejado para cuando venga que vamos a Jaca.,0,0,0,0,0,0
Procure de traer los hijos buenos o dejarlos en talle.,0,0,0,0,0,0
Y todo lo demás de la memoria que le di.,0,0,0,0,0,0
Y escriba de lo que fuere haciendo Nuestro Señor sea con todos.,0,0,0,1,0,0
De Zaragoza a 9 de octubre 1594.,0,0,0,0,0,0
A Manuel Ledesma que le beso las manos mil veces.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader para Joan Çoliba Bayle.No he respondido a dos cartas suyas que la postrera me trajo este portador porque ha muchos días que estoy enfermo.,0,0,0,1,0,0
Gracias a Dios que me hallo mejor y voy ya convaleciendo.,0,0,0,1,0,0
El honrado de Pezonada es gran negociante.,0,0,0,0,0,0
Y le aseguro que yo no sé para qué se ha detenido aquí que podía haberse vuelto el día que llegó pero Maurán le debe haber detenido.,0,0,0,1,0,0
Va diciendo grandes quejas de VM.,0,0,0,1,0,0
Yo he dicho al señor don Jaime en presencia de Pedro Seipas la verdad y que solicito aquí lo que era razón.,0,0,0,0,0,0
Y para que éste no salga con sus bellaquerías lo he escrito al marqués dándole razón de todo.,0,0,0,0,0,0
Conviene que ahí esté prevenido de lo que debe hacer que yo tengo carta de su excelencia y quiere que este negocio vaya a Madrid y así lo he encaminado.,0,0,0,0,0,0
Y todo cuanto Pezonada dirá que ha tratado con Maurán de concierto todo es garlar y no querer hacer ninguna llaneza.,0,0,0,1,0,0
Lo que le encargo es que pague a Adrián lo que me debe que ya sabe señor que es ya tiempo.,0,0,0,1,0,0
Y pues yo le he hecho tanta espera y cortesías no tengo más que hacer en la salida que yo he menester cobrar mi hacienda.,0,0,0,1,0,0
Y ayude a Adrián en todo cuanto se ofrezca.,0,0,0,0,0,0
Y luego me avisará de la llegada de éste y de todo lo que pasare.,0,0,0,0,0,0
Nuestro Señor sea con todos.,0,0,0,0,0,0
De Zaragoza a 5 de octubre 1594.,0,0,0,0,0,0
Nuestro Señor guarde a VM.,0,0,0,0,0,0
De Serós a 29 de septiembre de 1589.,0,0,0,0,0,0
Vicente FrancésCarta de Vicente Francés mercader Juan Maurán de León mercader.En 29 de este pasado tengo escrito a VM con Gregorio de Vega factor de Joan Bautista de Negro que había venido aquí a hacer la mensuración de los panes.,0,0,0,0,0,0
Y con él traté también en lo que diferenciábamos esta villa.,0,0,0,0,0,0
Y yo aunque ha habido grandes marañas no las quiero decir sino dejarlas para la vista.,0,0,0,1,0,0
Sólo diré que el negocio está concluido.,0,0,0,0,0,0
Y se ha hecho hoy el auto en favor y nombre de VM y yo como soy procurador lo he firmado.,0,0,0,0,0,0
Los cabos están acordados con la ventaja que he podido que se me puede bien fiar.,0,0,0,0,0,0
No puedo ser largo en especificar más esto porque tengo mucho que hacer en trazar el libro que se nos van los panizos y este año tenemos la cobranza corta.,0,0,0,1,0,0
Y mañana pienso recibir el trigo cogido y el panizo.,0,0,0,0,0,0
E iré dando orden en ir cobrando lo demás e iré avisando.,0,0,0,0,0,0
Ofreciéndoseme este correo que viene de Tarragona he querido dar este aviso a VM y que sepa que he ofrecido de dar dentro 20 días la seguridad.,0,0,0,0,0,0
Y así VM se sirva de que el señor Bernabé de Sola entienda luego en hacerla.,0,0,0,0,0,0
Y por me hacer merced que la envíe como si importase para veinte mil ducados que esta gente [...] hacen hincapié de lo que no tenían para qué.,0,0,0,1,0,0
El señor don Joan ha concluido el negocio.,0,0,0,0,0,0
Y ha sido menester que mostrase dientes según Gabriel Amiret y otros se habían apoderado ya de otra quimera que con la vista lo sabrá VM.,0,0,0,0,0,0
Advierto a VM que hablé con Tristán Duarte a fin de que no haga costas por la pensión que esta villa le pague de las 667000 94.,0,0,0,0,0,0
Y si no quiere aguardar VM le pague porque si hace costas VM las habrá de pagar.,0,0,0,1,0,0
Y advierta en decir en el apoca que las paga VM como arrendador por este año 1589.,0,0,0,0,0,0
Y avisarme ha de todo lo que hiciere.,0,0,0,1,0,0
Y pues con otro seré más largo ceso.,0,0,0,1,0,0
Nuestro Señor guarde a VM como puede.,0,0,0,0,0,0
De Serós a primero de octubre de 1589.,0,0,0,0,0,0
Los casos de la fortuna son de muchas maneras así que lo que os ha acaecido tomadlo con paciencia y reconoced vuestra vida.,0,0,0,1,0,0
Pensad que Dios lo ha permitido así para que os enmendéis.,0,0,0,1,0,0
Mirad en lo que le deservís y procurad en servirle.,0,0,0,1,0,0
No fiéis de la mocedad porque tan viejo sois para lo que toca al morir como uno de cien años.,0,0,0,1,0,0
Guardad que es humo nuestra vida y de adversidades ni prosperidades no hagáis caso.,0,1,0,1,0,0
Mucho quisiera hablaros empero mi indisposición me causa no poder como por Johan Ferrer sabréis.,0,0,0,1,0,0
Quiero daros un consejo y pagar cinco sueldos que os determinéis en una de dos cosas: o de tornaros a vuestro monasterio (y esto creo que os sería más sano para el alma que es todo nuestro bien que todo lo demás es viento) o si todavía queréis proseguir vuestro estudio os vais a París o en Italia y que estudiéis muy bien porque no os acaezca lo que ahora.,0,0,0,1,0,0
Pídoos por merced procuréis en serviros del juicio que Dios os dio porque es bueno y así si no os servís de él [...] tenéis más culpa que otro.,0,0,0,1,0,0
Mirad que andando como is no servís a Dios y vais con mucho menoscabo de vuestra honra.,0,1,0,1,0,0
No os fatiguéis por lo que os ha acaecido que las fortunas por las gentes pasan.,0,0,0,1,0,0
El porqué Dios lo sabe.,0,0,0,0,0,0
Y si hombre quiere mirar en ello cuando viene alguna prosecución poco más o menos ve la causa de ella.,0,0,0,0,0,0
Hacedlo vos así que lo mismo conoceréis y podréis poner en ello remedio.,0,0,0,1,0,0
Y perdonad porque no os veo pues os digo arriba la causa.,0,0,0,0,0,0
Y hago fin encomendándome a vuestra reverencia.,0,0,0,0,0,0
De Torrente a XV de julio año 1538.,0,0,0,0,0,0
Vuestro hermano que mucho os ama,0,0,0,0,0,0
Johan Luis ArgenteCarta no autógrafa de Francisca Redonda criada para su marido Juan de Granada soldado y despensero.Muy noble señor.,0,0,0,0,0,0
Los días pasados vino aquí Encinas vecino del Alpedrete.,0,0,0,0,0,0
Y me dijo señor como os había visto y que habíades de venir por acá la semana pasada.,0,0,0,0,0,0
Pluguiera a Nuestro Señor hubiérades señor venido porque por ventura no [...] me hubieran robado como lo puede decir el que la presente lleva.,0,1,0,0,0,0
Porque la persona por servir y no haber menester a nadie como yo sea sola y pobre se atrevieron a robarme.,0,1,0,1,0,0
Que no me dejaron habrá ocho días qué cobijarme.,0,1,0,1,0,0
Que me llevaron cuatro mantas y cuatro sayas y un manto y trece reales que tenía.,0,0,0,1,0,0
Y de todo esto vos soy encargo porque si vos estuviérades con vuestra mujer como lo manda Nuestro Señor y los confesores os lo mandan no me robaran a mí y yo no andaría a servir a nadie ni ganar un pedazo de pan como ando y sola y malaventurada.,0,1,0,1,0,0
Y como soy sola atrévense a mí.,0,1,0,0,0,0
Por tanto os digo y os encargo la conciencia vengáis a hacer vida conmigo o llevarme donde quisiéredes que yo estoy presta y aparejada de hacer lo que me mandáredes.,0,0,0,1,0,0
Y suplícoos me escribáis.,0,0,0,0,0,0
Ceso rogando a Nuestro Señor os tenga de su gracia.,0,0,0,1,0,0
Del Collado Villalba a seis días de febrero año 156III.,0,0,0,0,0,0
A lo que me mandáredes como humilde mujer vuestra hasta que Dios quiera,0,0,0,1,0,0
Francisca RedondaCarta de Juan de Mendoza pseudónimo de Juan de Segura tejedor de terciopelo para su esposa Inés Hernández.Señora mía.,0,0,0,0,0,0
Ésta es para Inés Hernández y la de abajo para VM señora Ana Vázquez.,0,0,0,0,0,0
Con gran pena habréis quedado en no saber si me hice algún daño de la caída.,0,1,0,1,0,0
Hágoos saber que a mí me sucedió muy bien aunque partí muy triste en no haberme despedido de vos mi bien porque en esta vida no tengo de quien hacer caso si no es de vuestra persona.,0,0,0,1,0,0
Suplícoos que mi ausencia no cause desamor pues sabéis que vos sola sois mi bien.,0,0,0,1,0,0
Y con esto yo quedo esperándoos como concertamos los dos.,0,0,0,0,0,0
Aunque por amor de los avisos de mi hermana aína nos perdiéramos ya yo estoy puesto en salvo.,0,0,0,1,0,0
De lo de allá me haced saber qué es lo que pasa porque vi revuelta aquella gente con mi hermana.,0,1,0,0,0,0
Y quería saber qué es lo que allá ha pasado y si habéis puesto por obra vuestra partidas y habéis hecho almoneda de vuestros bienes.,0,0,0,1,0,0
Y si no la habéis hecho suplícoos señora mía que mostréis el amor que me tenéis en venir donde yo estoy porque esto os lo ruego con lágrimas de sangre de mi corazón.,0,1,0,1,0,0
Porque no haciendo vos esto que me respondáis que no a esta carta iré luego a esa ciudad y me presentaré en manos de cualquier justicia que quisiere conocer de mí.,0,0,0,1,0,0
Cerca de esto no tengo más que decir sino que el que la presente lleva se llama Diego Díaz ganguero del cual os podréis fiar en venir con él.,0,0,0,0,0,0
Y si no estuviéredes despachada y acabada de vender vuestra hacienda darle heis mi capa y sayo y todo lo demás que me suelo poner.,0,0,0,1,0,0
Camisas ya veis que no llevo sino la que llevo en el cuerpo.,0,0,0,0,0,0
Darle heis las que se acababan.,0,0,0,1,0,0
Y si no puedes venir con el carretero que él os traerá donde yo estoy tomad a Andrés y veníos donde fuimos vos y yo la otra vez pues decís que quiere venir acá.,0,0,0,1,0,0
Y respondedme luego a ésta porque no haciéndose lo que yo digo luego soy en esa ciudad a vengarme de quien tendría razón.,0,1,0,0,0,0
La espada y alpargatas quedaron en la casa donde estaba.,0,0,0,0,0,0
Cobradlos y dadlos al carretero o traedlos vos.,0,0,0,0,0,0
